order_id,product_id
1,49302
1,11109
1,10246
1,49683
1,43633
1,13176
1,47209
1,22035
36,39612
36,19660
36,49235
36,43086
36,46620
36,34497
36,48679
36,46979
38,11913
38,18159
38,4461
38,21616
38,23622
38,32433
38,28842
38,42625
38,39693
96,20574
96,30391
96,40706
96,25610
96,27966
96,24489
96,39275
98,8859
98,19731
98,43654
98,13176
98,4357
98,37664
98,34065
98,35951
98,43560
98,9896
98,27509
98,15455
98,27966
98,47601
98,40396
98,35042
98,40986
98,1939
98,46313
98,329
98,30776
98,36695
98,27683
98,15995
98,27344
98,47333
98,48287
98,45204
98,24964
98,18117
98,46413
98,34126
98,9373
98,22935
98,46720
98,44479
98,790
98,18441
98,45007
98,20520
98,7461
98,26317
98,3880
98,36364
98,32463
98,41387
98,31066
98,17747
98,25659
112,27104
112,21174
112,41860
112,38273
112,47209
112,5876
112,29217
112,9047
112,4549
112,22425
112,11776
170,18394
170,37766
170,13176
170,6236
170,5077
170,8153
170,43772
170,25591
170,34582
170,49593
170,15093
170,43841
170,21137
170,40354
170,17794
170,11182
170,39190
218,1194
218,5578
218,38159
218,10305
218,38557
226,28199
226,24852
226,29883
226,28427
226,7754
226,39947
226,47307
226,36291
226,39275
226,1940
226,2040
226,20711
226,47501
349,33000
349,11361
349,27695
349,47672
349,45633
349,38015
349,36968
349,30830
349,5115
349,11520
349,25715
393,12078
393,6184
393,32403
393,19828
393,12341
393,16797
393,13424
393,30591
456,18196
456,34229
456,48118
456,14992
456,35365
456,31506
456,4972
456,34591
456,47626
473,20082
473,24852
473,47144
473,36441
473,12206
473,4034
473,30573
473,42404
631,21137
631,27344
631,42265
631,12211
631,29740
631,31717
631,13829
631,34358
631,48204
631,8424
631,21405
631,37307
631,9203
631,15842
631,12545
631,7509
631,34126
719,45683
762,21137
762,41220
762,15872
762,30391
774,47482
774,43335
774,16108
844,14992
844,21405
844,11182
844,28289
844,9387
844,18599
844,31766
878,48070
878,24852
878,23044
878,45066
878,21903
878,24964
878,47209
878,40706
878,21616
878,10305
878,21137
878,9076
878,27104
878,48679
878,10749
878,31717
878,30720
878,16759
878,5876
878,8193
878,43789
878,26209
878,11262
878,17652
878,34913
878,47156
878,40174
878,31343
904,8013
904,46149
915,17417
915,1582
915,196
915,29529
915,42013
915,45687
915,47931
915,48226
915,36570
915,30723
915,19977
915,9804
915,37487
915,4335
988,45061
988,28464
988,12626
988,4818
1001,34966
1001,23517
1001,26369
1001,43961
1032,11063
1032,26165
1032,27966
1032,8859
1032,44116
1032,5450
1032,9741
1032,22491
1032,45343
1032,32467
1032,20084
1032,21901
1032,44359
1032,19057
1032,43122
1032,8277
1032,747
1032,49021
1032,48465
1032,29869
1032,9618
1032,10089
1032,2450
1032,9133
1032,35352
1042,24852
1042,33000
1042,16083
1042,10814
1042,21634
1042,35140
1042,23094
1042,28985
1077,13176
1077,39922
1077,5258
1077,21137
1086,13984
1086,26209
1086,15261
1086,24082
1086,25610
1119,6046
1119,47626
1119,18465
1119,27104
1119,8424
1119,15937
1120,47211
1120,45685
1139,24852
1139,21137
1139,34969
1139,46993
1139,40396
1139,45757
1139,7559
1139,13431
1139,1376
1143,42719
1143,42097
1143,36759
1143,27966
1143,39275
1143,47209
1143,3464
1143,29307
1143,47626
1143,24964
1143,21405
1143,42958
1143,27999
1143,7552
1143,12206
1143,19660
1143,25466
1145,24852
1145,1465
1145,28083
1145,29657
1145,34986
1145,33651
1145,33957
1145,16198
1145,47409
1145,24004
1145,22206
1145,29487
1145,31343
1145,22882
1145,4697
1145,21158
1145,5069
1145,46522
1145,12945
1145,8022
1145,19658
1145,11249
1145,35234
1145,10673
1145,37836
1145,16797
1145,13417
1145,47532
1145,33516
1145,8841
1275,6046
1275,48679
1275,5450
1275,31506
1275,18761
1280,48186
1280,49235
1280,23955
1280,27845
1280,39581
1318,49520
1318,39375
1318,27845
1318,17526
1325,35914
1325,13176
1325,36425
1325,26165
1325,3664
1335,44359
1335,21903
1335,49683
1335,31404
1335,47209
1335,11520
1335,8277
1335,49111
1335,27845
1335,13176
1342,13176
1342,30827
1342,14966
1342,21137
1342,46129
1342,3798
1342,33081
1342,7862
1350,12260
1350,25042
1350,38311
1350,18830
1350,1017
1350,37620
1350,38371
1350,16714
1350,30571
1350,23535
1350,23776
1468,24852
1468,46667
1468,30024
1468,41570
1468,41787
1468,35530
1468,27521
1468,40761
1468,10385
